Order ID,Order Time,Restaurant,Restaurant Rating,Cuisine,Customer ID,Customer Location,Delivery Address,Number of Items,Order Amount,Discount Applied,Taxes,Final Amount,Tip Given,Delivery Partner ID,Delivery Partner Name,Estimated Time (mins),Actual Delivery Time (mins),Distance (km),Payment Method,Payment Status,Order Status,Cancellation Reason,Customer Rating,Review Comments
813abb35,43:33.0,Subway,4,Indian,CUST9876,Bangalore,"4, Bangalore Street, Bangalore",5,219.89,130.02,10.99,100.86,0,DP0005,Amit,52,48,1.26,UPI,Failed,Cancelled,Delivery Delayed,,
6f87c919,08:33.0,Haldiram's,2.4,Fast Food,CUST3594,Chennai,"17, Chennai Street, Chennai",9,1454.83,55.34,72.74,1472.23,37.65,DP0031,Rahul,17,27,3.09,Credit Card,Failed,Cancelled,Restaurant Unavailable,,
82e8275a,50:33.0,Biryani Blues,4.6,Fast Food,CUST5661,Chennai,"40, Chennai Street, Chennai",2,595.36,60.86,29.77,564.27,0,DP0024,Rahul,49,58,4.19,Wallet,Success,Delivered,,4.4,
cb3bfee4,45:33.0,Pizza Hut,4.6,Mexican,CUST7292,Chennai,"53, Chennai Street, Chennai",8,495.32,83.46,24.77,436.63,0,DP0043,Priya,22,26,4.94,UPI,Success,Delivered,,4.4,
07dd2419,26:33.0,KFC,4.2,Fast Food,CUST7480,Chennai,"51, Chennai Street, Chennai",4,298.25,199.04,14.91,114.12,0,DP0021,Neha,46,48,1.96,Debit Card,Success,Delivered,,4.7,Not satisfied
0acdc46f,59:33.0,Haldiram's,3.6,Fast Food,CUST1561,Hyderabad,"100, Hyderabad Street, Hyderabad",8,340.39,25.7,17.02,331.71,0,DP0012,Neha,21,26,5.01,Credit Card,Success,Delivered,,2.1,Tasty & fresh
965d7814,40:33.0,Pizza Hut,3.5,Dessert,CUST6583,Mumbai,"97, Mumbai Street, Mumbai",9,394.76,84.2,19.74,330.3,84.28,DP0043,Rahul,25,28,4.51,Debit Card,Success,Delivered,,1.3,Not satisfied
472f53bc,53:33.0,Haldiram's,3.1,Italian,CUST1800,Hyderabad,"22, Hyderabad Street, Hyderabad",7,325.85,47.07,16.29,295.07,0,DP0035,Neha,35,40,4.09,Wallet,Pending,Cancelled,Restaurant Unavailable,,
01a5df10,47:33.0,KFC,2.3,Indian,CUST4709,Bangalore,"18, Bangalore Street, Bangalore",1,136.74,58.55,6.84,85.03,0,DP0044,Rahul,56,57,8.25,Wallet,Failed,Delivered,,3.5,Late delivery
53f63a95,55:33.0,Subway,3.6,Dessert,CUST7357,Chennai,"86, Chennai Street, Chennai",6,493.36,78.21,24.67,439.82,62.58,DP0038,Amit,18,23,6.06,Wallet,Pending,Cancelled,,,
9b745672,07:33.0,Domino's,4.3,Fast Food,CUST6493,Ahmedabad,"3, Ahmedabad Street, Ahmedabad",3,1493.96,107.14,74.7,1461.52,0,DP0015,Priya,39,39,2.48,Cash on Delivery,Pending,Pending,,,
79a25585,19:33.0,Pizza Hut,3.8,Dessert,CUST1294,Mumbai,"54, Mumbai Street, Mumbai",3,771.98,183.62,38.6,626.96,0,DP0044,Priya,30,29,5.04,Credit Card,Pending,Cancelled,Delivery Delayed,,
9d6aa517,19:33.0,Domino's,2.7,Fast Food,CUST4323,Delhi,"8, Delhi Street, Delhi",8,178.12,179.98,8.91,7.05,93.35,DP0002,Neha,31,34,7.65,Cash on Delivery,Failed,Delivered,,2.2,Good food!
6f8ee0a3,55:33.0,Pizza Hut,4.2,Italian,CUST3346,Bangalore,"66, Bangalore Street, Bangalore",1,536.66,61.28,26.83,502.21,65.49,DP0013,Neha,23,31,2.04,Cash on Delivery,Failed,Delivered,,1.5,Good food!
d29ed932,58:33.0,McDonald's,2.8,Fast Food,CUST7697,Mumbai,"38, Mumbai Street, Mumbai",9,841.31,15.07,42.07,868.31,0,DP0039,Rahul,31,31,1.18,Credit Card,Pending,Cancelled,Customer Canceled,,
25b51c24,17:33.0,Haldiram's,3.6,Chinese,CUST5831,Delhi,"8, Delhi Street, Delhi",6,628.34,160.75,31.42,499.01,13.75,DP0035,Suresh,24,28,8.68,Cash on Delivery,Pending,Delivered,,2.3,Not satisfied
34da101c,44:33.0,Subway,2.5,Fast Food,CUST3483,Mumbai,"46, Mumbai Street, Mumbai",7,1040.81,138.53,52.04,954.32,0,DP0037,Suresh,35,41,7.53,Debit Card,Pending,Cancelled,,,
76e97427,53:33.0,Pizza Hut,2.1,Italian,CUST5663,Kolkata,"42, Kolkata Street, Kolkata",7,271.56,189.13,13.58,96.01,0,DP0049,Suresh,55,56,2.02,UPI,Pending,Cancelled,,,
7b1696fb,52:33.0,Pizza Hut,2.3,Italian,CUST8135,Delhi,"97, Delhi Street, Delhi",2,1270.27,12.76,63.51,1321.02,40.8,DP0040,Kavita,24,34,7.72,Credit Card,Failed,Pending,,,
d6b74502,35:33.0,Biryani Blues,3.9,Fast Food,CUST8683,Mumbai,"49, Mumbai Street, Mumbai",8,495.14,157.37,24.76,362.53,0,DP0014,Kavita,16,19,5.03,Wallet,Failed,Pending,,,
3bccba9b,33:33.0,Subway,3.6,Italian,CUST3775,Kolkata,"57, Kolkata Street, Kolkata",10,1098.16,23.58,54.91,1129.49,0,DP0005,Anil,46,41,9.42,UPI,Pending,Delivered,,3.4,
f9be6cc6,40:33.0,McDonald's,4.1,Thai,CUST7402,Mumbai,"64, Mumbai Street, Mumbai",3,428.89,149.48,21.44,300.85,0,DP0019,Neha,56,61,3.31,Debit Card,Failed,Cancelled,Restaurant Unavailable,,
51839529,46:33.0,Pizza Hut,2.8,Dessert,CUST2510,Delhi,"33, Delhi Street, Delhi",3,686.39,18.42,34.32,702.29,0,DP0025,Suresh,56,65,6.22,Wallet,Failed,Pending,,,
deec0fee,16:33.0,Biryani Blues,3.6,Fast Food,CUST8033,Bangalore,"72, Bangalore Street, Bangalore",3,907.6,123.35,45.38,829.63,18.66,DP0021,Amit,47,47,2.4,Cash on Delivery,Success,Pending,,,
9cbaaf2a,10:33.0,KFC,4.3,Dessert,CUST4224,Delhi,"86, Delhi Street, Delhi",5,856.54,30.4,42.83,868.97,65.71,DP0042,Neha,29,31,6.09,Cash on Delivery,Pending,Cancelled,Delivery Delayed,,
4b61f91d,00:33.0,Pizza Hut,4.4,Mexican,CUST6851,Hyderabad,"83, Hyderabad Street, Hyderabad",7,328.37,186.38,16.42,158.41,65.26,DP0009,Rahul,41,40,4.67,Credit Card,Success,Cancelled,Restaurant Unavailable,,
89270936,29:33.0,Pizza Hut,2.3,Mexican,CUST6393,Chennai,"55, Chennai Street, Chennai",6,1416.28,22.14,70.81,1464.95,76.18,DP0037,Amit,24,26,1.66,Debit Card,Pending,Pending,,,
b0db0156,18:33.0,Domino's,2.2,Mexican,CUST1814,Kolkata,"89, Kolkata Street, Kolkata",7,1470.98,199.17,73.55,1345.36,0,DP0011,Rahul,59,58,8.38,Debit Card,Pending,Delivered,,1.8,
59688f94,39:33.0,Pizza Hut,3.1,Thai,CUST4365,Pune,"50, Pune Street, Pune",10,1203.21,51.37,60.16,1212,44.4,DP0048,Amit,59,59,6.5,Wallet,Failed,Delivered,,4.3,
c0ee4024,42:33.0,Pizza Hut,4.2,Thai,CUST9577,Pune,"53, Pune Street, Pune",5,1063.38,186.74,53.17,929.81,0,DP0004,Rahul,28,33,7.55,Debit Card,Success,Delivered,,4.2,Not satisfied
7cdfb2ae,10:33.0,Domino's,2.6,Thai,CUST5257,Pune,"86, Pune Street, Pune",6,1322.59,109.42,66.13,1279.3,0,DP0028,Amit,53,59,4.66,Credit Card,Success,Pending,,,
adb141f2,52:33.0,McDonald's,2.5,Mexican,CUST9083,Delhi,"9, Delhi Street, Delhi",7,272.19,42.13,13.61,243.67,69.06,DP0035,Priya,31,35,7.28,Debit Card,Success,Cancelled,Customer Canceled,,
623bad1b,03:33.0,Biryani Blues,4.9,Chinese,CUST7729,Delhi,"57, Delhi Street, Delhi",5,1161.88,188.63,58.09,1031.34,63.89,DP0004,Neha,15,20,5.18,Wallet,Failed,Cancelled,Customer Canceled,,
0ad2eea1,14:33.0,Subway,2.3,Dessert,CUST2819,Ahmedabad,"95, Ahmedabad Street, Ahmedabad",8,460.71,95.23,23.04,388.52,75.43,DP0031,Neha,19,16,7.21,Credit Card,Failed,Pending,,,
224a2f45,12:33.0,Biryani Blues,3.3,Thai,CUST8724,Ahmedabad,"28, Ahmedabad Street, Ahmedabad",9,679.66,49.27,33.98,664.37,0,DP0009,Priya,47,51,9.35,Debit Card,Pending,Cancelled,,,
bed4b0d2,35:33.0,KFC,2.1,Mexican,CUST1591,Bangalore,"53, Bangalore Street, Bangalore",6,431.1,98.12,21.56,354.54,35.93,DP0038,Priya,41,36,4.92,Wallet,Success,Delivered,,3.1,Not satisfied
ec113548,19:33.0,KFC,2.2,Mexican,CUST6835,Pune,"86, Pune Street, Pune",4,1338.17,89.16,66.91,1315.92,0,DP0042,Amit,38,47,7.49,Credit Card,Failed,Cancelled,,,
8349f2af,38:33.0,McDonald's,5,Italian,CUST6291,Hyderabad,"76, Hyderabad Street, Hyderabad",10,1305.18,182.3,65.26,1188.14,0,DP0019,Anil,55,59,5.17,UPI,Failed,Pending,,,
c8b9c004,40:33.0,KFC,2.9,Dessert,CUST7803,Mumbai,"53, Mumbai Street, Mumbai",8,221.81,162.88,11.09,70.02,21.03,DP0026,Kavita,37,35,5.04,Debit Card,Success,Pending,,,
a732e207,34:33.0,KFC,4.8,Indian,CUST5660,Pune,"26, Pune Street, Pune",8,670.6,123.68,33.53,580.45,47.32,DP0002,Anil,33,34,8.04,Wallet,Failed,Cancelled,Customer Canceled,,
42eabc7c,10:33.0,Biryani Blues,4.9,Dessert,CUST5107,Bangalore,"89, Bangalore Street, Bangalore",2,531.89,52.69,26.59,505.79,0,DP0041,Neha,32,29,9.26,Debit Card,Pending,Pending,,,
359b4a00,21:33.0,KFC,2.5,Chinese,CUST5788,Mumbai,"39, Mumbai Street, Mumbai",2,649.46,141.86,32.47,540.07,0,DP0019,Suresh,35,34,6.15,Wallet,Success,Cancelled,Restaurant Unavailable,,
cf94868e,44:33.0,Subway,4.4,Chinese,CUST2763,Chennai,"73, Chennai Street, Chennai",7,1071.63,37.04,53.58,1088.17,0,DP0046,Priya,40,47,7.78,UPI,Pending,Cancelled,Delivery Delayed,,
c1a453ac,03:33.0,Haldiram's,5,Dessert,CUST6963,Bangalore,"28, Bangalore Street, Bangalore",2,875.68,82.9,43.78,836.56,40.53,DP0003,Neha,24,20,9.46,UPI,Pending,Pending,,,
78bb2ef8,21:33.0,Burger King,3.7,Mexican,CUST5763,Delhi,"95, Delhi Street, Delhi",1,1378.76,24.87,68.94,1422.83,0,DP0033,Rahul,38,35,4.77,Credit Card,Success,Pending,,,
f589e5ea,49:33.0,Haldiram's,3.9,Mexican,CUST8251,Hyderabad,"41, Hyderabad Street, Hyderabad",3,1182,12.41,59.1,1228.69,91.72,DP0022,Neha,23,22,6.78,Cash on Delivery,Pending,Delivered,,3,Late delivery
dd5de3b6,36:33.0,Burger King,2.4,Italian,CUST6054,Mumbai,"8, Mumbai Street, Mumbai",8,137.18,162.09,6.86,-18.05,81.14,DP0039,Suresh,51,54,4.58,Credit Card,Pending,Cancelled,Customer Canceled,,
1c4702bd,19:33.0,McDonald's,2.2,Chinese,CUST8679,Pune,"22, Pune Street, Pune",4,1457.85,61.8,72.89,1468.94,0,DP0021,Rahul,59,57,7.89,UPI,Success,Cancelled,Restaurant Unavailable,,
b200029c,37:33.0,Pizza Hut,4.8,Fast Food,CUST3521,Chennai,"40, Chennai Street, Chennai",3,1462.91,167.64,73.15,1368.42,77.79,DP0035,Neha,28,26,5.12,Credit Card,Success,Cancelled,,,
abf592f4,11:33.0,Burger King,3.1,Dessert,CUST3263,Delhi,"32, Delhi Street, Delhi",5,300.38,23.89,15.02,291.51,0,DP0001,Rahul,60,61,4.23,UPI,Failed,Cancelled,Delivery Delayed,,
dc0fc36e,40:33.0,McDonald's,3.1,Indian,CUST1437,Bangalore,"56, Bangalore Street, Bangalore",3,1071.9,32.52,53.6,1092.98,80.32,DP0044,Priya,43,38,3.38,Credit Card,Success,Pending,,,
bc34800a,29:33.0,Subway,3.3,Fast Food,CUST6913,Ahmedabad,"35, Ahmedabad Street, Ahmedabad",2,603.69,87.99,30.18,545.88,49.94,DP0044,Rahul,32,32,1.15,Wallet,Failed,Pending,,,
a92c5390,17:33.0,Pizza Hut,4.8,Chinese,CUST9076,Kolkata,"6, Kolkata Street, Kolkata",5,1182.28,56.47,59.11,1184.92,0,DP0047,Neha,52,54,1.17,Wallet,Success,Cancelled,Delivery Delayed,,
452f9e6b,04:33.0,Pizza Hut,3.1,Thai,CUST5281,Pune,"14, Pune Street, Pune",3,848.15,146.12,42.41,744.44,0,DP0003,Priya,50,46,2.97,Debit Card,Pending,Delivered,,3.3,Late delivery
9903b2f8,38:33.0,KFC,3.3,Dessert,CUST7186,Pune,"72, Pune Street, Pune",5,668.74,88.76,33.44,613.42,0,DP0023,Suresh,43,38,4.82,Cash on Delivery,Pending,Pending,,,
e7260ff8,41:33.0,KFC,3.7,Dessert,CUST9281,Bangalore,"66, Bangalore Street, Bangalore",3,1302.74,72.34,65.14,1295.54,58.83,DP0007,Neha,41,51,9.74,Cash on Delivery,Failed,Pending,,,
4b52f91c,09:33.0,Subway,4.4,Thai,CUST4697,Delhi,"78, Delhi Street, Delhi",10,1498.91,15.1,74.95,1558.76,0,DP0019,Rahul,53,63,5.6,Cash on Delivery,Pending,Pending,,,
2b54b00d,34:33.0,McDonald's,3.6,Dessert,CUST4674,Ahmedabad,"60, Ahmedabad Street, Ahmedabad",5,1061.93,174.97,53.1,940.06,0,DP0027,Priya,48,43,2.96,Credit Card,Failed,Delivered,,4.5,Good food!
e6d3b179,35:33.0,KFC,4.2,Dessert,CUST3371,Hyderabad,"75, Hyderabad Street, Hyderabad",2,1304.3,122.76,65.22,1246.76,0,DP0027,Rahul,42,49,9.09,UPI,Pending,Delivered,,2.5,Tasty & fresh
1c59ea18,03:33.0,Biryani Blues,3.1,Mexican,CUST7668,Chennai,"32, Chennai Street, Chennai",8,167.84,122.66,8.39,53.57,0,DP0043,Priya,40,43,2.9,Debit Card,Success,Pending,,,
fb694aad,32:33.0,KFC,3.1,Mexican,CUST2269,Mumbai,"46, Mumbai Street, Mumbai",2,1130.52,104.94,56.53,1082.11,54.78,DP0031,Rahul,15,11,4.92,Debit Card,Pending,Cancelled,Customer Canceled,,
64fafbb1,09:33.0,McDonald's,4.4,Dessert,CUST6731,Chennai,"60, Chennai Street, Chennai",2,202.51,47.42,10.13,165.22,0,DP0009,Amit,49,46,4.45,UPI,Failed,Delivered,,4.3,Excellent service
b348bbc9,35:33.0,Domino's,2.5,Mexican,CUST9979,Kolkata,"47, Kolkata Street, Kolkata",2,761.73,47.14,38.09,752.68,0,DP0050,Priya,22,26,8.77,Cash on Delivery,Pending,Cancelled,Delivery Delayed,,
1eae98b4,19:33.0,Biryani Blues,5,Indian,CUST9924,Pune,"60, Pune Street, Pune",1,1399.91,66.98,70,1402.93,0,DP0029,Neha,40,50,9.21,Wallet,Pending,Pending,,,
35326d3f,14:33.0,McDonald's,2.9,Fast Food,CUST7354,Chennai,"97, Chennai Street, Chennai",10,632.01,197.19,31.6,466.42,0,DP0007,Kavita,34,42,8.08,Debit Card,Success,Cancelled,,,
da6573b2,10:33.0,KFC,4.5,Mexican,CUST3963,Chennai,"99, Chennai Street, Chennai",2,1318.42,150.73,65.92,1233.61,0,DP0012,Rahul,54,60,6.91,Credit Card,Failed,Delivered,,4.7,
5dd27be0,43:33.0,KFC,2.8,Thai,CUST3708,Delhi,"94, Delhi Street, Delhi",6,862.87,122.4,43.14,783.61,0,DP0031,Priya,56,59,6.11,Credit Card,Failed,Cancelled,,,
15bbe9af,29:33.0,KFC,4.3,Italian,CUST3237,Mumbai,"74, Mumbai Street, Mumbai",1,941.06,14.05,47.05,974.06,0,DP0020,Amit,23,31,8.9,Credit Card,Pending,Delivered,,4.9,Tasty & fresh
ac9cfa6f,55:33.0,Pizza Hut,2.2,Fast Food,CUST9755,Ahmedabad,"15, Ahmedabad Street, Ahmedabad",6,928.08,138.88,46.4,835.6,0,DP0015,Suresh,19,17,4.38,Cash on Delivery,Failed,Pending,,,
154d00c0,04:33.0,Pizza Hut,4.7,Italian,CUST6576,Mumbai,"16, Mumbai Street, Mumbai",8,409.37,59.93,20.47,369.91,94.97,DP0046,Amit,42,50,7.81,Credit Card,Success,Delivered,,4.5,Not satisfied
b3ba10bf,59:33.0,Haldiram's,3.5,Indian,CUST7066,Pune,"12, Pune Street, Pune",10,364.1,138.16,18.21,244.15,0,DP0020,Amit,35,40,7.82,Wallet,Success,Cancelled,Delivery Delayed,,
a6baeec2,04:33.0,Burger King,5,Dessert,CUST1888,Bangalore,"62, Bangalore Street, Bangalore",9,1104.83,173.77,55.24,986.3,98.5,DP0023,Rahul,32,37,1.87,Cash on Delivery,Failed,Delivered,,1.3,Tasty & fresh
b5c03c0c,01:33.0,Domino's,3.6,Indian,CUST6494,Kolkata,"27, Kolkata Street, Kolkata",3,1175.37,157.6,58.77,1076.54,0,DP0022,Neha,34,36,4.62,Wallet,Failed,Delivered,,3,Not satisfied
cb836a09,06:33.0,Biryani Blues,4.1,Thai,CUST7694,Hyderabad,"40, Hyderabad Street, Hyderabad",5,841.74,178.68,42.09,705.15,89.65,DP0019,Neha,17,24,8.88,Debit Card,Failed,Delivered,,3,Good food!
64cb1d1a,53:33.0,Domino's,4.3,Fast Food,CUST2752,Pune,"88, Pune Street, Pune",2,1059.4,171.48,52.97,940.89,78.23,DP0034,Rahul,50,57,7.51,Wallet,Failed,Delivered,,4.3,Tasty & fresh
9ebe2d9e,28:33.0,Biryani Blues,3.1,Fast Food,CUST6426,Pune,"38, Pune Street, Pune",7,1420.72,106.82,71.04,1384.94,0,DP0046,Anil,34,41,9.73,Wallet,Success,Cancelled,Delivery Delayed,,
929a9aa8,22:33.0,Haldiram's,4,Fast Food,CUST3670,Delhi,"82, Delhi Street, Delhi",3,777.5,131.96,38.88,684.42,0,DP0035,Kavita,44,51,2.38,Debit Card,Success,Pending,,,
cd98fe08,46:33.0,Pizza Hut,3.2,Indian,CUST8751,Chennai,"2, Chennai Street, Chennai",2,724.38,89.11,36.22,671.49,5.32,DP0018,Amit,26,32,1.54,Cash on Delivery,Pending,Pending,,,
27014c64,52:33.0,McDonald's,3.8,Indian,CUST2343,Bangalore,"41, Bangalore Street, Bangalore",6,993.7,198.31,49.69,845.08,78.88,DP0024,Amit,55,65,7.95,Credit Card,Failed,Delivered,,4.2,Excellent service
e0dbe17d,32:33.0,McDonald's,3.2,Fast Food,CUST9986,Mumbai,"75, Mumbai Street, Mumbai",5,608.33,165.01,30.42,473.74,44.83,DP0025,Anil,51,54,3.68,Credit Card,Success,Delivered,,2.1,Excellent service
2645ef49,59:33.0,Domino's,4.9,Dessert,CUST4143,Mumbai,"34, Mumbai Street, Mumbai",6,566.2,4.53,28.31,589.98,0,DP0023,Rahul,44,51,4.9,Wallet,Success,Delivered,,1.6,Not satisfied
c204d146,51:33.0,Burger King,3.4,Indian,CUST2107,Hyderabad,"96, Hyderabad Street, Hyderabad",6,609.16,112.65,30.46,526.97,89.18,DP0010,Amit,31,37,4.62,Credit Card,Success,Pending,,,
74c76132,59:33.0,Biryani Blues,3.9,Thai,CUST1622,Mumbai,"39, Mumbai Street, Mumbai",3,837.53,7.09,41.88,872.32,0,DP0007,Rahul,27,34,1.9,Credit Card,Success,Cancelled,Delivery Delayed,,
73cd11ed,07:33.0,KFC,4,Mexican,CUST1978,Hyderabad,"55, Hyderabad Street, Hyderabad",6,418.25,64.91,20.91,374.25,0,DP0018,Priya,54,60,3.28,UPI,Failed,Pending,,,
814a946d,24:33.0,McDonald's,2.6,Italian,CUST3790,Hyderabad,"51, Hyderabad Street, Hyderabad",9,500.98,112.58,25.05,413.45,4.83,DP0002,Amit,35,34,5.38,Credit Card,Failed,Cancelled,Customer Canceled,,
ed5b8cd6,10:33.0,Domino's,2.9,Dessert,CUST5294,Hyderabad,"67, Hyderabad Street, Hyderabad",2,610.44,64.27,30.52,576.69,0,DP0037,Kavita,47,56,5.15,Debit Card,Success,Pending,,,
6e2d56ef,44:33.0,McDonald's,2.4,Fast Food,CUST1247,Kolkata,"68, Kolkata Street, Kolkata",10,311.43,198.79,15.57,128.21,0,DP0008,Anil,57,53,5.6,Debit Card,Pending,Cancelled,Restaurant Unavailable,,
ef0d6d26,43:33.0,Domino's,3.5,Indian,CUST8614,Kolkata,"20, Kolkata Street, Kolkata",7,1069.7,89.18,53.49,1034.01,38.77,DP0015,Amit,17,19,1.37,Debit Card,Pending,Cancelled,Customer Canceled,,
a7cb3c6b,09:33.0,Pizza Hut,4.6,Thai,CUST3307,Delhi,"67, Delhi Street, Delhi",7,839.5,23.3,41.98,858.18,0,DP0006,Neha,40,39,2.03,Wallet,Pending,Delivered,,3.9,Not satisfied
fdb74dbf,16:33.0,McDonald's,4.4,Mexican,CUST2378,Kolkata,"36, Kolkata Street, Kolkata",1,1146.1,178.23,57.3,1025.17,0,DP0023,Anil,25,24,2.13,Credit Card,Success,Cancelled,,,
28b3c612,36:33.0,Domino's,3.5,Indian,CUST1525,Bangalore,"7, Bangalore Street, Bangalore",5,1208.43,6.75,60.42,1262.1,0,DP0034,Amit,22,23,3.45,Debit Card,Failed,Delivered,,3.1,Late delivery
1032b6bd,42:33.0,Domino's,2.3,Fast Food,CUST5633,Delhi,"21, Delhi Street, Delhi",9,1076.47,122.92,53.82,1007.37,0,DP0007,Kavita,55,50,6.4,Wallet,Pending,Delivered,,1.6,Late delivery
b565ef3c,19:33.0,Domino's,4.3,Italian,CUST9270,Pune,"26, Pune Street, Pune",6,266.82,32,13.34,248.16,61.78,DP0036,Suresh,34,43,7.18,UPI,Failed,Cancelled,Restaurant Unavailable,,
